id,x,y,z
83,1.10479,-3.7003,-2.13978
158,1.23688,-4.17408,-4.54024
265,-0.189547,-3.52236,-4.83343
326,0.257224,-4.34901,-4.2223
409,-0.518328,-3.35851,-4.9573
588,-0.305775,-4.29699,-4.23537
689,0.0624975,-4.91579,-4.84279
714,-0.722952,-3.94203,-4.24296
828,-0.921185,-4.04979,-4.40107
985,-0.484894,-4.56424,-4.61809
1081,-0.699521,-4.98104,-4.52176
1194,-0.352772,-4.36754,-4.65818
1262,-0.0918746,-4.14676,-4.86198
1362,-0.822546,-4.6319,-4.41196
1424,-0.320901,-4.50496,-4.59723
1535,-0.702251,-4.94223,-4.96936
1647,-0.423097,-4.80122,-4.67637
1747,-0.287586,-4.09107,-4.938
1894,-0.862622,-4.05017,-3.70475
1988,-0.576554,-3.53577,-4.82377
2025,-1.24789,-4.89222,-4.27835
2102,-0.422338,-4.53466,-4.22639
2244,-0.753962,-4.48423,-4.35516
2382,-0.523441,-4.46189,-4.95291
2492,-0.606177,-4.33505,-4.98014
2560,-0.078015,-4.44182,-3.98101
2676,0.102788,-4.97067,-3.23097
2779,-0.391824,-4.81389,-4.94277
2880,-0.746085,-4.85719,-4.80327
2997,-0.978367,-4.84288,-4.61099
3022,0.0220299,-4.23438,-4.93763
3105,-0.0218762,-3.89844,-4.79837
3244,-0.539091,-3.91052,-4.63198
3393,-0.754399,-4.71743,-4.80383
3431,-0.812774,-4.89096,-4.61346
3568,-0.665773,-4.52413,-4.67403
3689,-0.523243,-4.33675,-4.05881
3785,-0.673093,-4.6015,-4.43148
3831,-0.314259,-3.90699,-4.82154
3941,-0.991803,-3.76425,-4.74578
4007,-0.409239,-4.89485,-4.62191
4107,-0.152606,-4.02697,-4.49292
4299,-1.69459,-4.83912,-4.47592
4326,-0.866457,-4.27039,-4.23145
4409,0.173835,-4.73315,-4.96019
4526,-0.750378,-4.85879,-4.35215
4603,-0.432633,-3.67813,-4.60428
4790,-0.544558,-4.45157,-4.62156
4891,-0.581295,-4.30664,-4.70072
4982,-0.185605,-4.65506,-4.66142
5010,-0.261185,-4.035,-4.86572
5121,-0.574288,-4.94714,-4.63946
5210,-0.915575,-4.91439,-4.63285
5325,-0.659073,-4.40986,-4.62995
5452,0.298213,-4.84816,-4.66613
5540,-0.00690694,-4.76118,-4.56794
5628,-0.747993,-4.91189,-4.91847
5780,-0.384168,-4.46722,-4.91966
5840,-1.12416,-3.899,-4.518
5988,-0.212218,-4.19026,-4.67162
6034,0.310744,-4.46845,-4.96298
6165,-0.353015,-4.87429,-4.7808
6280,-0.800494,-4.74467,-4.39024
6342,-0.365085,-4.27868,-4.39723
6419,-0.513485,-4.33186,-4.69441
6524,-0.225873,-4.68675,-4.96806
6647,0.0667804,-3.8859,-4.84447
6711,-0.40766,-3.86197,-4.65535
6802,0.0829546,-3.84615,-4.82786
6948,-0.581212,-3.926,-4.78912
7066,-0.0915448,-4.44721,-4.24795
7175,0.0856798,-4.40307,-4.84486
7257,-1.35627,-4.46601,-4.87448
7342,-0.242957,-4.50982,-4.16407
7419,-0.515197,-4.85501,-4.50736
7505,-0.576998,-4.82243,-4.78306
7623,-1.11745,-4.87083,-4.63805
7709,-0.0211252,-4.03756,-4.98215
7863,-0.550701,-4.44544,-4.87113
7921,-0.0500689,-3.71843,-4.96413
8090,0.104118,-3.97418,-4.93554
8135,-1.37071,-4.10854,-4.88619
8224,-1.30179,-4.6166,-4.32865
8304,0.00976649,-3.93002,-4.99459
8437,-0.0615518,-4.50798,-4.81755
8582,-0.456908,-3.47944,-4.87837
8674,-0.860522,-4.5355,-4.00343
8800,-1.2474,-3.9924,-4.92382
8881,-0.0686125,-4.87015,-4.9467
8958,-0.172522,-4.65024,-4.36713
9018,-0.550027,-4.15476,-4.42976
9197,-0.768982,-4.95415,-4.66795
9268,-0.350303,-4.49456,-4.92535
9311,-0.580603,-4.31556,-4.72529
9489,-1.72543,-4.00051,-4.27635
9557,-0.995897,-4.58161,-4.74382
9613,-0.946182,-4.28974,-4.3769
9797,-0.778083,-4.01534,-4.7995
9899,-0.104352,-4.21977,-4.96266
9999,-0.28633,-4.46571,-4.19395
10100,-0.256291,-4.48804,-4.92115
10174,-0.46138,-3.52383,-4.89082
10207,-0.327045,-4.21786,-4.92189
10315,-0.566969,-4.08401,-4.41906
10499,-0.886641,-3.92742,-4.37293
10532,-1.15082,-4.87664,-4.72667
10609,0.233654,-4.82029,-4.5535
10719,-0.283453,-4.96578,-4.75664
10850,-0.128379,-4.03839,-4.73266
