id,x,y,z
3,1.53419,0.807489,-0.969399
10,1.53419,0.807489,-0.657865
15,1.53419,0.807489,-0.665199
16,2.26123,0.807489,-0.665199
17,2.33024,0.807489,-0.665199
19,0.275801,0.807489,-0.665199
20,0.275801,-0.225498,-0.665199
24,-0.665549,-0.225498,-0.665199
47,-0.735851,-0.225498,-0.665199
69,-0.735851,-0.225498,-0.805293
71,-0.800648,-0.225498,-0.805293
102,-0.800648,-0.16648,-0.805293
112,-0.800648,-1.458,-0.805293
158,-0.800648,-1.44291,-0.805293
193,-0.800648,-1.44291,-0.801028
283,-0.800648,-1.42486,-0.801028
2317,-0.800231,-1.42486,-0.801028
8380,-0.800231,-1.42486,-0.800918
10741,-0.800231,-1.42502,-0.800918
13764,-0.800231,-1.42502,-0.80035
20886,-0.800231,-1.87805,-0.80035
