id,x,y
37,-2.89286,2.67636
294,-3.27878,2.81829
465,-4.20653,1.85879
661,-4.62007,1.82583
978,-3.40104,1.68141
1170,-2.39755,1.32221
1329,-0.458334,1.40781
1521,-0.318,2.24763
1737,-0.296234,1.53419
1957,-1.46961,3.13136
2161,-2.33578,2.27021
2206,-2.99126,1.95791
2516,-1.71648,2.4372
2720,-1.62468,1.42125
2822,-2.4923,0.538131
3180,-3.11137,0.987202
3207,-3.44114,-0.128771
3456,-3.9152,-0.159309
3618,-3.96283,-2.28837
3903,-2.61996,-3.58822
4182,-2.92565,-3.3759
4369,-3.66558,-3.65689
4454,-3.46953,-2.47144
4790,-3.92672,-2.40814
4805,-3.19824,-2.87977
5119,-3.32803,-3.88958
5205,-4.23986,-3.60989
5519,-3.80784,-4.50208
5796,-3.51136,-4.77013
5968,-3.8797,-4.70881
6099,-4.21931,-3.81334
6246,-4.20816,-4.14347
6567,-4.45172,-2.98534
6699,-4.84635,-1.31676
6817,-4.55569,0.303696
7149,-4.90076,-0.0790314
7358,-3.9487,-1.05421
7570,-4.70742,-0.669686
7725,-4.95221,-1.31175
7889,-3.16338,-2.6725
8079,-3.55589,-1.78708
8331,-3.23983,-2.03651
8475,-2.34859,-1.7427
8779,-4.36749,-2.21856
8893,-4.01871,-2.06488
9108,-4.20609,-1.8658
9259,-4.14767,-1.39488
9517,-4.65382,-0.578852
9668,-3.79712,0.640035
9978,-4.21358,2.21956
10172,-3.70852,2.46679
10243,-4.16477,2.2252
10566,-4.86927,2.73594
10727,-4.08099,2.91776
10958,-3.29475,2.40999
11031,-3.78005,1.60628
11231,-4.57472,0.670695
11537,-1.94908,-1.36553
11772,-2.14145,-0.367156
11886,-1.37839,-1.10855
12075,-0.940675,-0.44223
12384,0.197308,-1.66012
12545,-0.992066,-1.26141
12643,-2.12703,-1.61026
12993,-4.03669,-0.458282
13003,-3.12401,0.680901
13305,-0.0772892,2.08906
13538,0.0642754,2.62439
13739,0.709777,2.02377
13872,1.27858,2.72027
14050,0.93251,4.01361
14368,1.35792,2.80603
14414,0.405832,3.62393
14656,0.881806,4.23227
14857,1.30925,4.78804
15043,0.784794,4.5315
15223,0.0632327,4.26108
15462,0.387088,3.8107
15702,-0.414937,3.27973
15993,-0.870795,4.60283
16149,-0.6883,4.97696
16361,-0.875411,4.61731
16553,0.401885,4.65864
16622,2.18184,4.48367
16951,2.83576,3.55316
17007,3.36496,2.83199
17352,3.84743,1.14126
17550,2.95934,0.734283
17780,2.80388,1.42785
17921,1.13903,-0.223421
18115,0.860827,-2.08589
18335,2.63337,-3.19977
18461,4.38183,-2.5929
18700,4.76586,-2.08835
18805,4.58372,-0.93391
19154,4.39423,-2.62413
19340,4.45419,-3.137
19522,4.61256,-1.91443
19643,4.78405,-2.13829
19844,2.99232,-2.62899
20050,3.44377,-2.60623
20244,3.79395,-2.78591
20412,3.32888,-3.43369
20690,2.50264,-3.42905
20823,3.66932,-2.76805
21027,4.79515,-4.18236
21274,4.38589,-4.8979
21588,3.74206,-4.08153
21740,1.02952,-3.89006
21845,1.33688,-4.83941
22147,1.53231,-4.94596
22353,0.337685,-4.76992
22598,-0.855814,-4.60457
22800,-1.64385,-3.81237
22960,-1.06446,-4.53372
23077,-1.47983,-3.99317
23370,-0.383377,-3.95984
23405,0.546483,-4.48735
23630,0.550142,-4.56607
23992,0.410341,-2.69766
24008,1.14783,-1.42163
24343,1.23234,0.0732417
24492,1.09099,0.307712
24777,-0.379864,0.242353
24867,0.109307,-1.07989
25087,1.66787,-1.01801
25346,3.21262,-1.15918
25422,2.19269,-2.12312
25719,3.4687,-1.28036
25960,3.39145,0.488366
26176,4.29021,1.06762
26243,2.86157,1.18454
26541,0.586364,0.00590709
26646,1.0017,1.16374
26813,2.41131,2.50846
27111,1.70208,1.39544
