id,x,y,z
59,-4.60938,3.21748,1.42274
125,-4.22795,2.65375,2.96505
229,-3.42253,3.98606,3.11386
332,-4.43184,2.86857,1.01712
428,-4.18791,1.38882,1.28531
516,-4.73455,3.21178,0.119325
663,-3.83937,1.65653,-0.612951
771,-3.49274,0.626991,-0.182958
807,-4.63174,1.39431,0.877283
935,-4.23554,1.4782,0.20979
1009,-4.10718,1.61486,-0.379818
1196,-4.23852,1.66776,-0.056411
1293,-4.20416,0.669211,-0.278598
1381,-3.6154,0.103679,-0.221104
1498,-2.41123,0.582043,-0.453145
1592,-2.2225,0.275079,1.06673
1693,-0.643815,1.73317,2.47127
1717,-2.16955,0.71871,3.26723
1894,-1.77849,0.276494,2.96322
1963,-1.82356,0.278061,3.0824
2067,-1.4514,0.969871,2.93585
2127,-0.210138,1.30834,3.30565
2216,-0.118142,-0.163858,4.95719
2396,-0.133017,0.660093,4.78571
2437,0.336409,-0.271739,4.45829
2577,0.507585,1.37822,3.77478
2690,0.595246,0.382766,4.11733
2759,-0.286768,-0.944024,4.43988
2839,1.23712,-1.31394,3.55134
2950,0.856388,-2.43279,2.68963
3066,-0.034031,-3.50686,2.08789
3138,0.933457,-4.19004,0.558848
3224,-0.201381,-2.92061,-0.837462
3322,1.67217,-2.94493,-2.81515
3500,2.87896,-2.88343,-2.02758
3591,2.38328,-3.89347,-2.41929
3692,0.715635,-3.6872,-1.07505
3738,0.711994,-1.77708,-0.574107
3899,-0.784418,-1.4345,-0.988079
3911,-0.394461,-1.63354,-1.24651
4096,0.249155,-1.99189,-0.352957
4179,0.902726,-3.21663,-0.260628
4276,-0.0366894,-3.79304,-0.990692
4357,-0.403685,-4.72674,-0.702992
4481,0.383614,-3.55023,0.573019
4592,1.45156,-3.63849,1.38208
4634,1.09058,-2.9309,1.46224
4775,1.24761,-3.31446,2.08545
4876,0.62782,-4.39417,1.75205
4956,0.721423,-4.89546,2.22658
5017,-0.534556,-3.88529,1.65529
5106,-0.0732834,-4.90541,2.42812
5239,0.439756,-4.14343,3.63191
5350,-0.0500079,-4.44417,3.58662
5436,0.106354,-4.87971,3.71739
5567,0.481378,-3.18917,3.88684
5672,-0.606854,-2.7105,4.18528
5769,-0.138601,-2.31122,4.09882
5831,0.278242,-3.88535,2.27583
5977,1.57125,-4.15305,2.9882
6028,0.731206,-4.73203,4.72911
6141,0.885021,-3.85722,3.44465
6221,1.78651,-3.62653,2.01026
6337,1.76918,-4.4054,2.48996
6416,3.69382,-4.19218,1.69654
6592,4.75827,-4.5994,2.79456
6666,4.39688,-4.06297,0.726682
6764,4.87125,-3.92142,1.31866
6859,4.2176,-2.14502,2.0001
7000,3.123,-0.108953,0.560746
7019,2.35151,0.585309,1.24882
7110,2.93054,0.629343,0.558099
7221,3.48467,-1.72543,-0.558368
7371,2.02357,-3.86875,-0.706999
7451,4.42635,-1.90337,-0.236833
7580,4.06676,0.17582,-0.258805
7632,3.31316,0.201536,-2.51154
7780,2.45645,1.22267,-2.62812
7874,2.36134,2.83321,-2.26812
7988,1.9345,4.35661,-2.13579
8083,1.22154,3.84097,-0.645891
8199,0.34173,4.76584,-0.905418
8294,0.517986,4.7658,-0.705165
8394,1.28418,2.8306,-1.04928
8461,1.36658,2.62516,-0.529311
8562,-0.205065,2.20473,-0.701401
8620,0.31715,1.9267,0.304375
8799,0.707406,4.15882,-1.09328
8802,1.39377,4.76163,-0.709703
8959,1.2413,4.55734,0.388689
9044,1.78727,4.53924,0.793864
9152,1.9222,3.62,0.945551
9217,2.17816,3.44299,2.72346
9387,0.464758,2.20774,3.91709
9440,0.829881,3.79537,4.64988
9506,2.12136,4.66167,4.02508
9691,2.38796,3.71418,4.74752
9783,2.17857,3.22221,4.59399
