id,x,y,z
8,7.29168,7.29686,7.72462
232,8.49627,7.48713,7.01484
512,8.70625,8.2031,7.53595
758,7.61129,7.85195,7.2182
930,7.95359,7.70682,7.75238
1164,7.73638,7.46788,7.78898
1360,7.85665,7.96031,7.72695
1409,7.30684,7.97137,7.65206
1602,7.61491,7.29649,7.99483
1810,8.05818,7.45766,8.22219
2063,7.71434,8.34088,7.99006
2394,7.29789,7.50897,7.77038
2469,7.10716,7.42438,7.85786
2753,7.36942,7.33926,7.5381
2983,7.16001,7.64962,8.43288
3091,7.31615,7.9875,7.9504
3385,6.83727,7.20277,7.66195
3424,7.71468,7.51053,8.07143
3695,7.6485,8.23924,8.70506
3836,7.4566,7.9759,6.78509
4191,8.51116,7.84762,7.67254
4203,7.79236,8.03209,8.06591
4413,7.37669,7.91412,7.46586
4769,7.83226,8.02084,7.88456
4885,7.90522,7.53693,7.66004
5015,7.57133,7.6409,7.76058
5369,8.1076,7.66831,7.37482
5455,7.15338,7.32788,6.9434
5748,8.12233,7.55844,7.71332
5900,7.44052,7.99227,7.64188
6082,7.39914,7.94752,7.14531
6318,8.02236,7.56535,7.7364
6478,6.94966,7.4794,7.69822
6710,7.59609,8.29007,7.18027
6937,7.68843,7.95909,7.22693
7200,7.18621,7.27099,7.96795
7325,7.94117,7.13796,7.65832
7449,7.85978,7.41858,8.0606
7774,7.59921,7.73674,8.14002
7992,7.32943,7.39624,7.4695
8138,7.43924,7.86817,7.20062
8274,7.41342,8.17719,7.52028
8415,7.30622,7.35848,7.57665
8632,7.66417,7.58889,7.97669
8898,7.53367,7.43102,8.2843
9123,7.66317,7.50295,7.3224
9337,8.19871,7.01211,7.57487
9513,7.77577,7.24543,7.93816
9789,8.27391,7.19365,8.00937
9957,7.54619,7.5356,7.73592
10151,7.58031,7.64464,7.94087
10312,7.91809,7.70832,7.67295
10582,7.2095,8.09363,8.15447
10609,7.79634,7.7314,7.11248
10884,7.50866,7.45821,7.80763
11037,8.11082,8.04801,7.58191
11266,7.26541,7.5855,8.10997
11471,7.26671,8.08993,7.83434
11710,7.631,7.66143,7.43499
11815,7.61359,7.3248,7.68328
12043,7.84796,7.94532,7.19989
12322,7.77317,8.02097,7.97247
12542,7.81898,7.85232,8.10104
12643,7.77536,6.915,7.50764
12904,7.63362,7.7296,8.28533
13070,7.71397,8.53392,8.30726
13207,7.92092,7.78107,7.56196
13430,8.42755,8.3914,7.60667
13647,7.85204,7.97184,8.00816
13849,7.58404,7.54046,7.17693
14113,7.26371,7.44801,7.63819
14265,8.15298,7.88779,7.89093
14571,8.28068,8.10701,7.60242
14793,8.21821,8.44544,7.9049
14913,8.13574,7.80984,8.14799
15159,7.86306,8.04598,8.30312
15283,7.4215,7.2494,8.09187
15524,8.31996,7.32188,8.20978
15745,7.38891,8.23426,7.76392
15833,8.49254,7.37251,7.44637
16072,8.7846,7.32578,7.65546
16285,8.47778,7.91516,7.23414
16411,8.17948,7.37849,7.39593
16625,8.10929,8.03318,7.88137
16935,7.88427,7.88629,7.41817
17150,8.08725,6.83989,7.55974
17383,7.15803,7.40166,8.03133
17517,8.25387,7.22934,7.84256
17686,7.73709,7.54235,7.48903
17957,7.40757,7.97227,8.23814
18053,7.61566,8.00656,7.59315
18364,7.99363,7.52976,7.09578
18523,7.45463,7.63824,7.45483
18764,7.103,7.43535,7.74847
18859,7.84362,8.10761,8.06925
19107,7.95592,8.46988,7.81501
19241,7.49487,8.17451,7.8474
19543,7.38474,7.77783,8.26415
19752,8.0015,8.04667,7.97259
19989,7.67121,8.41528,7.60945
20149,7.68055,7.86134,7.52819
20364,7.64298,8.15483,7.6663
20523,7.58321,7.41357,8.31892
20752,8.31987,7.63934,7.36733
20893,7.47854,7.001,7.69894
21005,7.59164,7.80072,7.73609
21256,7.58928,7.36817,7.93026
21430,7.31155,8.70843,7.90505
21726,7.70345,7.89014,8.17667
21961,7.77,7.33407,7.65752
22014,8.16803,7.53881,7.14419
22358,7.94852,7.88093,7.338
22413,7.59994,8.00999,7.65154
22721,8.11785,8.04891,7.58187
22844,8.53962,7.48147,7.61675
23171,8.31696,6.58145,8.18677
23323,7.40271,7.40815,7.64036
23469,7.83865,7.90988,8.21174
23652,7.59658,8.72051,7.38958
23934,7.65981,7.96529,8.01399
24137,7.55854,7.59755,7.73739
24201,7.77469,7.80995,7.58888
24418,8.49715,7.95601,7.74303
24722,8.16653,7.71645,8.16954
24999,8.11242,7.72532,8.04546
25166,7.88195,7.24633,8.03763
25236,8.12494,7.3139,7.91142
25563,8.1648,7.93899,7.64153
25786,8.05258,7.82778,8.11124
25942,8.14393,7.98974,7.4727
26027,7.21313,7.79368,7.81981
26329,7.47565,7.86722,7.2111
26566,7.7667,7.27842,8.33222
26795,8.04198,6.97237,7.72575
26804,8.38502,7.77671,7.16811
27014,7.5213,7.80219,7.05729
27350,7.00165,7.96679,7.75648
27528,7.79821,8.08889,8.04803
27735,8.64255,7.83393,7.58705
27872,8.20013,7.65738,7.58271
28033,7.4452,7.22462,7.52389
28294,7.52119,8.0614,7.82703
28529,8.06702,8.28778,7.80905
28695,7.7614,7.60992,7.85076
28998,7.79174,7.64536,7.23512
29093,7.25378,7.88637,8.14912
29262,7.41258,7.53774,7.8985
29540,8.04183,7.56003,7.60533
29784,8.0344,7.6785,7.95787
29956,8.20616,7.66692,7.86971
30022,7.61508,8.42102,7.61561
30275,7.82444,7.84329,8.54546
30587,7.86811,8.27096,7.77547
30680,7.7416,7.9699,7.35812
30812,8.23783,7.97604,7.15666
31028,8.1407,7.33302,8.13372
31399,7.59873,7.58379,7.78999
31421,7.19687,7.69347,7.2902
31731,7.21721,7.64063,7.50566
31853,7.56416,7.45238,7.27506
32023,7.58314,7.61372,7.54983
32304,7.93955,6.81965,7.98125
32600,7.68572,7.66634,7.85202
32742,8.27422,7.82043,7.39276
32929,7.15602,7.07417,7.73095
33038,7.12128,7.5965,7.7658
33327,7.82566,7.82311,7.46619
33440,7.74179,8.08211,8.09158
33692,8.27869,7.71335,8.02355
33836,7.72707,7.96178,8.16384
34074,7.45702,7.41581,7.54859
34237,8.15251,8.07916,7.63839
34417,7.88908,7.26328,7.76615
34779,7.65727,7.85287,7.62289
34931,8.47539,7.51047,8.00468
35077,8.38068,7.72904,7.4847
35202,7.65382,7.63773,8.08696
35515,7.589,8.18198,7.88724
35690,7.73565,7.51372,8.15431
35939,8.2916,8.39312,8.42346
36084,6.98715,7.85252,7.83524
36261,7.89786,8.59683,7.68696
36416,7.55205,7.67786,7.55022
36621,7.39032,7.71698,7.75858
36962,7.57006,7.3153,7.12858
37191,7.88216,8.13435,7.47178
37334,7.78267,8.17796,7.76276
37496,7.34925,7.83187,7.68265
37667,7.22492,8.05499,8.08453
37872,7.57811,7.49513,7.68665
38024,8.45969,8.06978,7.60204
38310,8.78567,7.90465,7.8029
38462,7.78522,7.62005,7.71554
38751,8.50144,7.638,8.01062
38811,7.49497,7.48917,7.72456
39067,7.77407,7.75667,7.53824
39393,8.24756,7.88363,7.22566
39553,7.1308,7.35415,8.07398
39713,7.21859,8.02737,7.86379
39822,7.38293,7.83432,7.90656
40180,7.07623,7.70635,7.49009
40229,6.72238,7.93352,7.58369
40475,7.57875,7.70703,7.71157
40785,7.83857,7.73491,7.95107
40878,8.00352,7.88542,7.9032
41068,8.41121,7.95897,7.8831
41320,7.97106,7.34699,7.68877
41495,8.31899,7.33998,8.08903
41774,8.27565,7.88914,8.11473
41809,7.76983,8.04241,6.69686
42141,7.86464,8.1117,7.73786
42363,7.99351,7.32624,7.68982
42416,7.88077,7.52495,7.02639
42781,8.01522,8.17934,7.4206
42832,7.74864,7.9913,8.58578
43126,8.06932,7.37788,8.22567
43371,7.82745,7.5396,8.35032
43472,7.78561,7.99119,7.98106
43722,8.07753,7.47705,7.14699
43911,7.81952,7.57276,7.8323
44012,8.17029,7.38805,7.35738
44360,7.8001,7.46811,7.84233
44571,7.56225,7.68164,8.4685
44715,7.75986,7.96142,8.16401
44849,7.21293,8.23828,7.859
45002,7.49954,7.94546,8.13878
45320,7.40982,7.82626,7.69703
45443,7.63711,7.98834,7.66674
45622,7.92284,7.30684,7.97659
45955,7.75508,8.27548,8.10805
46085,8.21014,7.92359,8.27167
46349,7.37762,7.90308,8.16278
46497,8.29548,7.4474,7.45697
46629,7.67603,7.00572,7.4283
46885,7.91447,7.42146,7.32385
47015,7.27038,7.64063,7.33761
47370,7.62584,7.7216,7.61848
47483,7.75648,7.81486,7.26341
47733,7.62158,7.25514,8.20085
47866,7.892,7.57845,7.59379
48068,8.06504,8.01834,8.3094
48249,8.04794,8.24797,8.02905
48492,7.32132,7.73345,7.24834
48736,7.74989,8.24959,7.98252
48960,7.2254,7.1934,7.21993
49135,7.80402,7.74333,7.54301
49383,7.4696,7.32302,7.45557
49503,7.49228,8.24643,7.14669
49671,7.36024,7.89201,7.84599
49982,7.71001,6.88691,7.99095
50159,7.78739,8.30337,7.08226
50281,8.73259,7.9073,7.13162
50475,7.9496,8.55023,7.91593
50712,7.52938,7.91444,7.80381
50951,8.26906,7.65671,7.76734
51111,7.31285,7.92192,7.91254
51266,7.95203,7.53773,8.59084
51575,7.32171,7.58843,8.10675
51757,7.21294,7.52317,7.47015
51815,7.23308,7.19102,7.35789
52030,7.8165,8.0579,7.27721
52378,8.18958,7.64235,8.05928
52570,7.46201,8.02126,7.43414
52658,7.72298,7.4806,7.82718
52841,7.76872,7.45024,8.19903
53047,7.74101,7.26694,7.72632
53324,7.60539,7.87045,7.304
53565,7.25072,8.18161,7.6822
53732,7.74948,7.81319,7.73073
53813,7.91918,7.8725,8.07809
54012,7.87832,6.90162,8.02565
54390,7.45515,7.30032,7.95446
54536,6.95603,7.43776,8.05022
54760,7.66894,7.54322,7.84611
54930,7.86939,7.927,7.84022
55113,7.56838,7.93179,8.23696
55260,7.60797,7.49601,8.40596
55549,7.36792,7.75848,8.3447
55647,7.64902,7.75629,7.81737
55819,8.32477,7.6226,7.75711
56023,7.7037,7.63063,8.58198
56265,7.11329,8.36188,7.77112
56510,7.78931,7.46489,7.67727
56674,7.96966,7.38998,8.51635
56909,7.12728,7.32032,7.68988
57164,7.85177,7.57241,7.28186
57318,7.09863,7.42458,7.14466
57551,8.28061,7.81984,7.50856
57637,7.62209,7.90184,7.9687
57892,8.31451,7.43842,7.66315
58178,8.14163,8.36491,8.02869
58286,7.78735,8.7927,7.37401
58575,8.10667,6.85385,7.6788
58776,7.49301,7.59439,7.68076
58857,8.18866,8.50838,7.50711
59002,7.84917,7.45158,7.25182
59272,7.65633,7.67824,7.27129
59456,7.46959,7.68648,7.36804
59673,7.41148,7.85594,7.32334
59938,8.32395,7.81531,7.65586
60129,7.57315,7.66627,7.47945
60245,7.35965,7.99748,8.03405
60600,7.6921,8.33479,8.17069
60697,7.47865,7.48895,7.19324
60915,7.40297,7.53489,7.23756
61150,7.75589,8.52884,7.97942
61251,7.27922,8.20482,7.49874
61561,7.01299,7.76313,7.69046
61607,8.06186,7.4821,8.17961
61903,7.33166,7.57116,7.69054
62087,6.64395,7.7722,7.58592
62329,7.42885,7.56117,7.87055
62582,7.32045,7.46218,7.88967
62611,7.60835,6.91474,7.4292
62859,7.90979,6.98539,7.72367
63095,7.86188,7.87035,8.07622
63309,7.19266,8.01445,7.5832
63442,7.61574,8.10737,7.65375
63700,8.14777,7.8805,7.17187
63817,8.0954,8.4832,7.38183
64165,7.97195,7.81554,7.89177
64234,7.83991,7.68601,7.8948
64573,7.23064,8.11563,7.57586
64641,8.77834,7.78125,7.55103
64858,8.13864,7.94613,8.47959
65088,7.43258,7.55962,8.51138
65374,7.62228,7.32802,8.45363
65494,7.53676,7.76857,7.8409
65732,7.80648,8.23662,7.21949
65818,7.77147,7.79414,7.9542
66153,7.76496,8.16749,8.09892
66377,7.22518,7.83857,7.29788
66408,8.10883,7.37396,7.40372
66606,8.19526,7.63183,7.55504
66964,7.71721,7.52187,8.01082
67087,7.78502,7.96183,7.53234
67374,7.78919,8.04367,8.05182
67463,7.9601,7.83838,7.6198
67796,7.89789,7.62015,7.58833
67910,7.53158,7.15737,7.48922
68155,7.7175,7.75556,6.90609
68394,7.62882,7.86995,7.05874
68575,8.60428,8.16517,7.24964
68752,7.69744,8.09332,7.69437
68817,8.26609,7.66319,7.785
69077,7.51261,7.36197,7.57743
69208,7.57871,7.50637,7.91052
69463,7.91182,7.83245,8.31664
69612,7.78614,7.67127,8.30263
69824,7.45741,7.58773,7.51829
70192,7.07998,7.70553,7.85144
70302,7.94903,8.18278,8.14845
70478,7.65849,7.52259,7.60482
70657,7.66998,7.70729,8.15631
70815,7.76811,7.92859,8.09073
71015,8.10501,7.24559,7.38126
71230,8.19585,7.8147,7.62375
71419,8.1248,7.56473,7.73842
71679,7.94518,7.89992,7.82587
71974,7.21327,8.04205,7.83639
72064,8.42112,7.57853,7.68737
72245,7.94589,7.15712,7.77285
72543,7.32515,7.6206,7.42173
72740,7.66479,7.34249,7.51835
72903,7.99977,8.0027,7.32178
73117,7.34301,8.32357,7.03949
73400,7.46676,7.48347,7.0576
73459,7.51674,7.37748,8.42511
