id,x,y,z
4,8.14267,9.01775,8.29532
200,8.29528,7.66528,7.08643
261,8.2711,6.87612,7.58632
380,7.56324,6.87659,8.78721
482,7.58602,7.88569,7.79896
501,8.26345,8.34153,8.00573
639,7.77973,8.39032,7.15623
777,7.33156,8.55009,8.25316
837,7.87482,8.33487,8.36896
981,8.37532,7.6764,8.47549
1097,7.57669,6.77558,7.90234
1150,6.78373,6.85229,7.31476
1279,6.81192,8.34977,6.98745
1305,6.91511,7.71017,7.68829
1500,7.46219,7.42012,6.64477
1507,9.56805,7.48353,7.50579
1639,9.03288,7.21853,8.42507
1714,8.6629,7.3761,8.01191
1829,7.87555,7.45421,8.65454
1944,7.33,7.8439,8.16707
2022,7.9303,8.20009,8.34759
2153,7.76151,8.28168,7.61089
2239,7.13702,7.69874,6.34948
2352,7.10172,8.54742,7.5745
2404,7.47798,7.84326,7.28737
2506,7.69206,7.76239,7.54309
2623,7.54399,9.20725,7.47146
2738,8.23019,6.86572,7.70093
2847,9.46312,8.21816,8.74195
2989,8.29647,8.30823,8.50167
3021,8.25869,8.00852,8.43459
3135,8.22262,8.46913,8.47399
3249,8.36824,8.7804,7.86698
3399,7.19677,8.24259,8.35959
3488,7.25395,8.30153,7.99293
3522,8.89329,8.57188,7.85021
3609,9.23857,8.56188,7.11651
3740,9.34383,7.01834,7.44866
3887,8.47186,7.00307,6.55711
3947,7.93863,6.91627,7.67497
4032,6.84503,8.06341,7.77028
4119,7.85128,8.24978,7.50085
4238,7.75309,8.49262,6.38763
4306,7.61336,8.92656,7.21614
4497,6.7955,8.4329,6.83392
4539,7.84021,8.2168,7.14101
4698,7.60979,8.43803,7.65477
4714,7.71491,7.58437,8.0056
4894,8.21212,7.35972,8.78691
4976,6.69726,7.25327,8.09397
5046,8.71497,7.73318,6.94742
5177,9.03257,7.7233,8.59103
5254,8.15123,7.94878,9.46724
5344,7.46805,7.76728,9.46403
5439,7.79332,9.12402,8.43339
5588,8.56924,7.72925,9.12673
5605,8.54577,7.088,7.25181
5721,8.71404,6.86027,7.44519
5856,7.99937,6.69578,7.56679
5939,7.68198,7.60594,7.66461
6001,6.80833,7.6772,7.79619
6183,7.42811,7.40791,7.80341
6206,7.49241,8.0818,7.8053
6333,6.78358,7.40787,6.88812
6497,7.30461,8.47698,7.28311
6576,6.87375,7.91907,6.50401
6636,8.08438,8.25242,7.91915
6734,7.96759,7.81238,8.0529
6874,7.47151,8.07108,8.75475
6991,7.84359,7.97202,9.09585
7079,7.40847,7.27299,8.26403
7157,8.47298,7.69517,7.97029
7290,7.63964,6.93692,6.91721
7350,6.83496,7.43338,7.71808
7475,7.40446,7.89071,8.86947
7593,7.82758,7.73427,7.50791
7601,7.43101,8.35594,7.81125
7781,7.35476,8.41934,8.11344
7862,7.01919,7.33523,7.72061
7986,7.04135,8.1949,7.73578
8046,7.37815,7.36359,7.71814
8180,6.97441,8.0267,9.07488
8233,8.24293,8.64347,8.04578
8382,8.29369,8.41134,6.54737
8436,8.41886,8.36081,7.74351
8560,8.40861,8.80702,8.14498
8692,7.90858,9.1065,7.20326
8786,8.25174,8.96837,6.80733
8868,8.39916,7.9716,7.54293
8970,8.29891,7.34284,6.8832
9020,7.75065,7.45303,8.3053
9160,7.60928,8.38398,7.90343
9286,8.13325,8.40295,8.38059
9310,8.14919,8.51571,9.26428
9427,8.24992,8.18764,9.3841
9551,7.34728,7.45076,7.25719
9692,7.52542,7.32029,9.59366
9731,7.11102,8.29977,8.05848
9857,7.36251,7.98656,9.74298
9959,7.53135,7.90122,8.3693
10080,8.08399,7.37558,8.43057
10151,8.27293,7.4363,7.75938
10249,8.67127,7.95368,7.83388
10345,9.10668,7.40857,7.42647
10466,8.90026,7.7424,6.3526
10558,8.26271,8.76856,7.97848
10620,8.88587,8.27397,7.55426
10766,7.90951,7.70761,7.75987
10811,7.42929,7.35685,7.61401
10990,8.18335,7.35475,8.10681
11031,7.30975,7.17059,7.49965
11139,8.21851,8.63617,8.29549
11203,8.46087,7.67714,8.17356
11348,6.99162,6.93559,8.5763
11416,6.65666,8.00985,7.86539
11599,6.37622,9.01966,7.38629
11603,6.85962,7.25454,8.72051
11772,6.98773,7.46867,8.27153
11835,8.29253,6.94324,8.41592
11988,7.13818,7.80386,8.55963
12076,9.30398,7.76562,8.11287
12192,8.35367,7.15341,8.06678
12260,8.12577,7.67704,8.20991
12350,7.92418,7.36751,9.69762
12421,7.41621,7.53194,9.13416
12538,7.34236,7.21717,7.4481
12698,8.9287,7.12734,7.78054
12758,7.61308,8.53133,8.90981
12837,7.55595,8.66183,8.39089
12926,8.24913,7.89133,7.77704
13016,6.81082,7.03602,8.26169
13146,8.08613,8.28197,7.55847
13287,6.95767,7.68813,6.99189
13318,7.36275,7.45264,6.64993
13485,7.21951,7.60416,7.33862
13522,7.47549,7.47522,7.43426
13640,9.01381,7.37542,7.94792
13714,8.72422,7.46041,8.09864
13866,8.48799,7.93856,8.40126
13937,8.08387,8.9162,8.20515
14062,8.26922,7.72227,8.69519
14192,7.62915,7.79081,7.84155
14226,6.66633,7.62863,7.98679
14367,7.20797,8.18274,8.75909
14462,7.34154,8.53247,8.1835
14520,6.88393,8.46575,8.02559
14641,7.5287,9.21779,8.91907
14716,6.17473,7.51486,8.71087
14829,5.70292,7.44519,7.84573
14929,7.71556,8.59519,8.04939
15066,7.10045,8.2115,7.60645
15187,7.98854,9.88147,8.07035
15269,7.93358,9.24986,8.22315
15320,7.83618,8.29597,8.59035
15498,8.00025,8.76908,8.15707
15512,7.1757,7.81888,7.81402
15629,7.12834,7.53929,8.90827
15744,8.53422,8.69373,7.33056
15860,8.66773,8.45127,8.54217
15990,8.58565,7.39216,7.85484
16032,7.07805,7.11646,7.38419
16195,7.6759,7.86862,7.88891
16298,7.44222,6.95846,7.87051
16325,7.82714,7.85351,7.16426
16487,8.46291,8.4942,7.34265
16582,7.51713,8.19698,7.41924
16660,7.71292,7.60605,7.19612
16790,6.86164,8.11709,7.6648
16857,7.2007,8.15967,7.06944
16964,7.95636,8.46735,8.00462
17010,7.837,7.80565,7.90494
17101,7.67694,8.29397,7.4777
17261,8.33963,7.37812,7.54903
17338,8.44274,7.99327,7.65553
17415,8.22221,9.13861,8.9239
17560,7.74449,8.62632,7.03186
17649,8.36136,8.95944,7.56651
17800,8.67615,8.30024,7.47944
17854,7.90319,8.95501,8.45762
17983,8.7677,8.36378,9.12687
18065,8.58908,7.52662,8.42357
18164,8.63473,8.20691,8.68447
18234,7.3823,7.73055,7.16029
18346,7.73551,8.2646,7.96061
18427,8.07299,8.22991,7.98789
18555,7.45159,8.75153,7.61576
18675,7.43666,8.10933,7.68796
18721,7.90426,8.16382,7.61681
18865,6.74054,7.81426,7.78434
18993,7.23525,6.79181,6.6267
19053,7.81473,7.67116,8.04255
19132,7.50951,7.683,7.95559
19230,6.62215,8.08264,7.16568
19302,6.64921,8.85493,7.86647
19425,8.03092,8.56583,7.79671
19541,6.97484,7.37066,7.78703
19631,7.52216,8.22975,8.00655
19717,8.05208,7.52547,9.39335
19803,7.37823,7.07328,8.3426
19987,8.17645,7.83278,7.37032
20067,7.6265,7.72676,7.20203
20167,7.82644,8.09418,9.29891
20289,7.54261,7.3507,9.46428
20307,8.32767,7.61035,7.4309
20403,8.14605,7.58255,7.55606
20519,9.2821,7.43519,7.50882
20659,8.273,7.88301,7.44939
20766,8.30956,7.43085,7.40946
20890,8.06206,7.87948,7.25821
20982,8.23974,7.16538,8.16738
21059,7.89148,7.6141,8.82116
21143,7.48765,6.90004,8.34022
21285,7.17098,7.63405,8.47245
21353,7.75867,8.074,8.81138
21427,8.02249,6.21928,7.68687
21543,7.35208,7.28306,8.05155
21640,7.45331,7.87633,7.8134
21714,7.01856,8.3459,7.30472
21860,7.52212,7.45897,7.22767
21948,7.78255,7.81527,8.4501
22043,7.98928,8.66355,8.26064
22194,8.15333,8.15723,8.17631
22285,7.24015,7.61459,7.55346
22344,7.50899,7.92516,7.83594
22476,8.02142,6.82417,7.74171
22594,6.58888,7.66263,7.19777
22690,7.57617,7.74742,7.85027
22770,7.3369,6.96459,7.29029
22845,7.76302,7.68371,7.12658
22929,8.21548,8.71405,7.87314
23070,7.60986,7.01135,8.29182
23168,8.10717,7.47216,6.7185
23224,7.53914,7.46612,7.04218
23340,8.14235,7.92228,7.24401
23419,7.47261,8.10017,8.61115
23554,7.73962,7.17451,8.4706
23613,7.7057,7.70064,9.19614
23711,7.57808,8.15062,7.34001
23853,6.83359,6.89104,8.07889
23989,6.58181,8.04468,7.86973
24037,5.92559,7.89668,8.5114
24175,7.33088,7.58713,9.39939
24294,8.03687,8.10884,8.1228
24302,6.32897,6.97731,8.53875
24465,7.60853,7.75301,7.91411
24510,7.22755,7.50074,7.60757
24616,6.84357,9.11017,7.84989
24788,8.89931,8.53642,7.91279
24872,7.20207,7.9206,8.60447
24986,8.02319,7.20233,7.93613
25008,7.85899,7.32747,8.19984
25200,8.33238,7.8808,8.77501
25208,8.38938,8.01886,7.68946
25345,9.18875,7.78844,8.26688
25417,9.24547,7.6706,7.34681
25553,7.38576,8.13948,7.3275
25614,8.02887,7.706,7.51213
25701,7.40042,7.21523,9.99498
25863,7.32309,9.03682,8.48336
25985,7.73938,7.18129,7.79156
26007,9.18619,8.12061,8.13765
26117,8.72119,8.51182,7.59384
26288,7.87476,7.65154,7.39308
26320,8.85562,7.96328,7.33598
26485,8.42991,8.50429,7.44696
26589,7.98405,7.15334,7.94572
26694,7.52956,8.07645,8.28681
26751,7.3781,8.04535,7.27299
26862,8.24694,7.74819,7.97064
26982,8.77773,6.60374,7.98337
27063,8.10352,7.98933,8.62483
27104,8.08237,8.0297,8.23992
27262,8.59721,8.41575,7.35841
27376,9.05788,8.03244,7.71802
27474,8.45084,7.80718,7.67432
27562,8.21757,7.66159,7.48815
27621,7.32854,6.57993,8.08413
27749,8.5788,7.01842,7.12445
27829,7.3171,7.57056,8.23593
27906,6.98166,7.55424,6.84267
28079,7.53945,7.97701,6.60919
28125,7.22797,8.31172,7.28063
28257,8.46358,8.42547,6.78004
