id,x,y,z
164,-3.06132,4.85703,4.69244
310,-1.62936,4.60643,2.99775
456,-1.34499,4.54125,3.38425
673,-1.29374,4.23426,2.9002
952,-1.99066,4.14495,3.34826
1082,-1.74061,4.4227,3.53648
1357,-1.50372,4.02731,3.64906
1423,-1.81611,4.50887,2.92585
1710,-1.64381,4.33362,3.15455
1940,-2.17738,4.51351,3.10009
2038,-1.61384,4.53757,3.66984
2243,-1.47671,4.42174,3.74282
2526,-1.63624,4.74994,2.9705
2692,-2.12081,4.77087,3.38019
2947,-1.97818,4.38055,3.55203
3041,-1.60214,4.66482,3.11746
3316,-1.23168,4.70614,3.49574
3457,-1.70021,4.55324,3.11273
3770,-0.966204,4.44946,3.21329
3897,-0.709853,4.55501,4.29135
4174,-1.15055,4.52315,3.87272
4251,-1.3416,4.15368,4.11071
4564,-1.51769,4.45631,3.45618
4727,-1.66583,4.33411,3.96805
4987,-1.60474,4.38336,3.8573
5162,-1.2751,4.1757,3.83745
5385,-1.39925,4.36851,4.19343
5427,-1.77306,4.6641,3.16977
5699,-1.47569,4.58959,3.35171
5808,-1.86414,4.5468,3.28801
6017,-1.78756,4.19857,3.50685
6283,-1.44874,4.24539,3.56808
6568,-1.3319,4.69325,3.75149
6785,-0.929657,4.74782,3.31656
6893,-1.87294,4.83626,3.31514
7122,-1.44775,4.29173,4.40432
7358,-1.42946,4.27043,4.13505
7502,-1.64146,4.31963,3.65312
7731,-1.95351,4.77499,3.32972
7982,-1.5854,4.56338,3.49972
8083,-1.31624,4.3416,3.22552
8290,-1.21275,4.49401,3.00639
8442,-1.23949,4.77273,3.28265
8690,-1.90245,4.42869,2.89321
8820,-2.06138,4.43589,2.80228
9137,-0.948126,4.05227,3.95596
9290,-1.73356,4.75181,3.96333
9445,-1.66347,4.80669,2.85006
9767,-1.25175,4.66028,2.64936
9834,-2.02887,4.16648,3.56091
10014,-1.82083,4.25726,3.25719
10204,-1.42233,4.34797,3.63874
10502,-1.16708,4.5816,3.10186
10676,-1.48759,4.90846,3.37933
10883,-1.53943,4.41034,3.32313
11030,-1.16117,4.60623,3.38087
11224,-1.1981,4.49362,3.48176
11465,-1.5712,4.82129,3.04358
11680,-1.55704,4.40318,3.28582
11821,-1.31115,4.34467,2.81692
12172,-1.43064,4.77049,3.33446
12362,-1.10746,4.85904,3.81018
12404,-1.76617,4.41874,3.76842
12670,-1.41723,4.11508,3.80561
12938,-1.47724,4.54565,3.73778
13153,-1.05271,4.28972,3.1824
13257,-0.652715,4.93245,3.38035
13420,-1.64696,4.72756,2.8015
13624,-1.47629,4.55809,3.60704
13931,-1.45248,4.6322,2.94086
14049,-1.5094,4.46873,3.82332
14224,-2.08529,4.24596,3.82289
14544,-2.15729,4.74918,3.73261
14745,-1.71041,4.20807,3.34029
14947,-2.43646,4.13839,3.73954
15016,-1.42718,4.63883,3.02769
15214,-1.32122,4.24607,3.35388
15574,-1.61879,4.48508,3.36993
15790,-1.4489,4.53435,3.06444
15866,-1.16132,4.32878,3.06554
16074,-1.27223,4.46393,3.83912
16354,-1.79175,4.83326,3.0345
16470,-1.59558,4.5717,2.81689
16718,-1.28611,4.7076,4.00323
16863,-1.81338,4.38975,3.31157
17044,-0.943464,4.73027,3.09172
17292,-1.51257,4.16899,2.65996
17578,-1.15289,4.53933,2.96605
17654,-2.01063,4.70483,2.9049
17967,-1.79401,4.15183,3.8733
18098,-2.22505,4.6565,3.50824
18389,-1.75704,4.34683,3.87404
18505,-1.21243,4.94628,4.20858
18705,-1.62154,3.93437,3.52735
18811,-1.49521,4.15227,3.87583
19100,-1.16453,4.3693,3.73195
19353,-1.04561,4.04669,3.9582
19430,-1.03592,4.00543,3.25751
19699,-1.10232,4.56588,3.92677
19872,-1.53405,4.55466,3.93553
20041,-1.40986,4.52266,3.44703
20360,-1.28336,4.13752,3.89398
20496,-1.34631,4.58855,3.65473
20783,-1.59294,4.45316,3.42475
20818,-1.62397,4.65559,3.59443
21183,-1.55572,4.41966,3.27151
21229,-1.3626,4.88434,4.14507
21465,-1.17819,4.35966,3.33799
21778,-1.50793,4.73421,3.31692
21923,-1.0877,4.81497,3.49843
22017,-1.88344,4.51167,3.48809
22342,-1.57123,4.73211,3.24527
22535,-1.24038,4.80341,3.19429
22712,-2.05785,4.47129,3.85255
22863,-1.42976,4.38105,3.45211
23058,-1.42664,4.2174,2.9282
23213,-1.7807,4.34892,2.98764
23414,-1.50409,4.98318,3.0117
23693,-1.33915,4.62388,3.65346
23857,-1.85295,3.9537,3.22611
24079,-1.49496,4.30223,3.17592
24267,-1.63035,4.62818,3.31022
24452,-1.9258,4.40962,3.0079
24621,-1.57809,4.83221,3.62293
24916,-1.88315,4.80743,2.98742
25197,-1.42723,4.51543,3.07375
25240,-1.56868,4.82458,3.61014
25512,-1.27224,4.99696,2.91221
25637,-1.4572,4.73142,3.07098
25898,-1.44707,4.16401,2.90848
26194,-1.96368,4.05421,3.00485
26375,-1.97099,4.79559,3.09259
26534,-1.7873,4.66527,3.0289
26724,-1.41653,4.19867,3.2107
26922,-1.66292,4.1729,3.36672
27112,-1.39047,4.80618,3.22009
27228,-1.67,4.84087,3.26896
27502,-1.73496,4.61662,4.33892
27799,-1.55155,4.55363,3.77152
27865,-1.64013,3.79721,3.90345
28200,-1.22216,4.69077,3.70264
28281,-1.21428,4.40107,4.10587
28425,-1.7221,4.99383,3.21844
28625,-1.7178,4.58513,3.19927
28961,-1.72259,4.44745,3.55959
29061,-1.95284,4.33399,3.37066
29357,-1.54726,4.22924,2.91042
29553,-1.42612,4.70843,3.25608
29795,-0.69762,4.79012,3.2704
29957,-1.50919,4.75229,3.38409
30118,-1.63115,4.21331,2.92206
30311,-0.66447,4.62468,4.34263
30577,-1.85788,4.76535,3.60076
30780,-1.06316,4.54531,3.43563
30910,-1.92809,4.35205,3.66777
31180,-1.46494,4.39781,3.10883
31282,-1.58283,4.46107,2.74481
31438,-1.67094,4.59423,3.09778
31614,-1.64013,4.66427,3.42782
31918,-1.1047,4.1463,3.10254
32059,-1.58659,4.19478,3.49922
32201,-1.33044,4.40829,3.16497
32404,-1.68744,4.22989,3.76072
32688,-1.53583,4.81606,3.08371
32804,-1.1796,4.85212,3.17607
33009,-1.40943,4.19135,3.5685
33368,-0.713445,3.67592,3.29708
33466,-2.12137,3.85819,3.49425
33680,-1.58524,4.94663,3.82843
33938,-1.74937,4.65134,3.66805
34023,-1.63782,4.64418,3.1796
34221,-1.62077,4.21094,4.22967
34497,-1.29223,4.64072,3.44723
34724,-1.28948,4.41132,3.1134
34942,-1.1791,4.38503,2.78537
35005,-1.05568,4.80135,3.18285
35252,-1.58483,4.19165,2.80079
35480,-1.48464,4.81127,3.10146
35710,-1.88266,4.3002,3.48432
35824,-1.21888,4.41754,3.34439
36031,-1.3824,4.48812,3.20691
36290,-1.90402,4.52644,3.66586
36405,-2.33547,4.46269,3.72277
36649,-1.90014,4.24617,3.6365
36905,-1.80582,4.4246,3.96663
37083,-1.74621,4.41065,4.04302
37302,-1.95351,4.5211,3.26308
37435,-1.7031,4.54932,3.31006
37698,-1.65013,4.24543,3.35477
37980,-1.44657,4.66993,3.45029
38095,-1.51675,4.20395,3.0772
38283,-1.43004,4.68952,3.10062
38475,-1.80409,4.22942,2.94672
38670,-1.61019,4.27646,3.97509
38938,-1.95118,4.0226,3.55931
39027,-1.49582,4.31783,3.22617
39263,-1.78143,4.05466,2.99178
39514,-1.31611,4.62823,3.18436
39669,-1.59156,4.49905,3.35927
39885,-1.52444,4.94333,4.56045
40006,-1.11226,4.56637,2.8157
40276,-1.53463,4.34284,2.96747
40517,-1.30147,4.51907,3.64232
40609,-1.33244,4.87495,3.1042
40918,-1.80556,3.99637,3.46539
41012,-1.35089,4.26808,3.50766
41304,-1.23224,4.64327,3.78668
41462,-1.5145,3.97532,3.52304
41761,-1.55123,4.85846,3.04971
41883,-1.34546,4.08284,3.28713
42155,-1.42689,4.30242,3.06965
42256,-2.12053,4.1777,3.7586
42489,-1.78959,4.85966,3.61886
42786,-1.68378,4.44832,3.75036
42996,-1.48743,4.39034,3.73543
43156,-1.01412,4.81989,3.50128
43209,-1.78301,4.65877,3.1208
43551,-1.82453,4.50319,3.55904
43651,-0.796348,4.65041,3.23885
43878,-1.31584,4.08812,3.42166
44087,-1.07763,4.96204,3.66818
