id,x,y,z
4,-2.03236,-3.11777,2.87156
8,-3.9876,-3.11777,2.87156
10,-4.10615,-3.11777,2.87156
11,-4.10615,-3.39386,2.87156
18,-3.48189,-3.39386,2.87156
24,-3.48189,-3.39386,2.64468
29,-3.48189,-3.39386,2.37267
30,-3.48189,-3.32758,2.37267
48,-3.43169,-3.32758,2.37267
63,-3.41188,-3.32758,2.37267
119,-3.41188,-3.32758,2.36295
282,-3.41188,-3.32758,2.33618
348,-3.41188,-3.31814,2.33618
423,-3.38146,-3.31814,2.33618
455,-3.38761,-3.31814,2.33618
722,-3.38761,-3.31814,2.34226
1103,-3.38771,-3.31814,2.34226
1168,-3.38789,-3.31814,2.34226
1237,-3.38789,-3.31814,2.34557
1355,-3.3903,-3.31814,2.34557
1760,-3.39488,-3.31814,2.34557
2303,-3.39488,-3.31814,2.34646
3670,-3.39518,-3.31814,2.34646
7142,-3.39518,-3.31749,2.34646
