id,x,y
78,0.186914,-3.24893
247,-0.22065,-4.12799
600,-0.521074,-4.45589
777,-0.631225,-4.23248
967,0.444055,-4.86712
1132,0.290824,-3.94777
1383,0.617664,-4.68916
1404,0.267047,-4.04601
1781,0.888917,-4.35768
1919,0.0167478,-4.31036
2190,0.992513,-4.93374
2327,0.245939,-4.03797
2470,-0.103914,-4.29443
2718,-0.149954,-4.36879
2833,-0.251514,-4.25212
3091,0.530417,-3.93336
3274,1.12268,-4.29962
3583,0.910305,-4.89153
3671,0.809805,-4.35478
3934,-0.0303065,-4.09058
4143,0.15894,-4.11645
4317,-0.0785605,-4.26564
4543,-0.273405,-4.27067
4798,-0.524528,-4.0876
4836,0.445983,-4.69521
5089,0.726437,-4.60017
5330,0.341672,-4.45283
5424,-0.136937,-3.99176
5696,-0.153813,-3.70529
5951,-0.554138,-3.91736
6108,-0.274736,-4.29677
6276,-0.588211,-4.43163
6492,-0.402935,-3.55445
6776,-0.530341,-3.83377
6972,-0.0982161,-4.49971
7078,0.436178,-4.06299
7219,0.324696,-4.80886
7588,-0.712248,-4.08727
7655,0.286945,-4.63838
7989,0.593864,-4.91736
8088,0.329859,-4.72113
8236,-0.0415141,-4.02379
8540,0.11133,-4.05328
8633,-0.0613157,-4.59613
8984,-0.426274,-4.16267
9060,-0.517949,-4.39214
9255,-0.42539,-4.15517
9470,-0.592221,-3.78696
9755,-0.0868839,-4.52434
9984,0.0791195,-4.66958
10114,-0.248979,-3.87529
10398,-0.00746705,-4.16504
10569,-0.56794,-4.21317
10740,-0.218442,-4.32393
10909,-0.0346789,-4.19893
11101,-0.637869,-3.86038
11227,-0.625689,-4.24022
11556,-0.317238,-4.2877
11735,-0.154478,-4.26875
11809,0.523783,-4.71536
12139,0.754349,-4.75026
12215,-0.0141939,-4.20164
12414,-0.344562,-3.89468
12677,-0.358631,-4.11037
12849,-0.596313,-4.11619
13169,-0.270523,-4.06934
13346,0.0802773,-4.39191
13451,-0.606262,-4.27563
13743,-0.702423,-4.10536
13933,0.275416,-4.87005
14035,1.14488,-4.8892
14222,0.773793,-4.93638
14548,0.890764,-4.99335
14730,0.107943,-4.25988
14832,-0.431659,-4.08894
15189,-0.504998,-4.28645
15385,-0.530792,-3.95744
15432,-0.493797,-3.90917
15601,-0.453142,-4.32965
15848,-0.20631,-4.32056
16152,-0.0698882,-3.96164
16394,-0.358609,-4.2525
16561,-0.31372,-4.24529
16673,0.834122,-4.56318
16961,0.859255,-4.91831
17085,0.542233,-4.27586
17264,0.22847,-4.57133
17559,0.196651,-4.93392
17722,0.379783,-4.23022
17896,0.721032,-4.58639
18043,-0.458054,-4.35695
18234,-0.0584882,-4.49509
18573,0.540605,-4.39456
18680,0.949209,-4.45397
18921,-0.196848,-3.99813
19041,-0.0270951,-3.88307
19286,-0.127368,-4.40125
19542,-0.774758,-3.83718
19735,-0.04941,-4.2424
19803,0.118188,-3.92304
20041,-0.266402,-3.75669
20377,0.301304,-3.88097
20587,-0.0369299,-3.70286
20655,0.589729,-4.14356
20873,1.20507,-4.90806
21138,-0.106346,-4.24299
21360,0.216535,-4.65485
21594,0.080479,-4.08849
21645,-0.525368,-4.28536
21912,0.803133,-4.52878
22063,0.0836702,-3.98502
22306,-0.301858,-4.57401
22588,-0.71507,-4.05752
22676,-0.236653,-4.15283
22869,-0.422603,-4.25418
23177,-0.569216,-3.89723
23279,-0.64956,-4.0087
23476,-0.634258,-3.92678
23703,-0.202891,-3.70468
23874,-0.316713,-3.7258
24145,-0.00566679,-3.91016
24313,-0.172234,-4.04121
24431,0.25921,-4.91182
24639,-0.637197,-3.88781
24987,-0.318045,-4.4002
25165,-0.439922,-4.15233
25360,-0.508303,-4.18693
25483,-0.792839,-4.12933
25627,-0.230208,-4.03701
25888,-0.166805,-4.46909
26088,-0.700955,-4.31076
26247,-0.042261,-4.2562
26459,-0.314861,-4.09848
26727,0.637462,-4.70144
26986,-0.0302784,-3.64166
27103,-0.39501,-4.06372
27346,-0.620744,-3.83713
27558,-0.45522,-4.04388
27726,-0.382269,-4.07153
27835,-0.205098,-3.89859
28034,0.894191,-4.89643
28301,0.849163,-4.75063
28559,0.361823,-4.95876
28745,-0.363155,-4.09692
28995,0.81499,-4.82115
29092,1.74202,-4.64185
29307,0.374963,-4.97499
29552,-0.132234,-4.21912
29618,-0.164417,-3.76235
29942,-0.20367,-3.9392
30043,-0.25353,-4.21198
30277,-0.490197,-4.39901
30576,-0.511275,-4.29892
30683,-0.343844,-4.18146
30968,-0.635566,-4.10224
31134,-0.376357,-4.39508
31373,0.369478,-4.8739
31408,-0.513414,-4.32093
31709,-0.507403,-3.86456
31980,-0.36304,-4.58162
32065,-0.100731,-4.06101
32233,-0.0141898,-3.99416
32506,0.863172,-4.80379
32753,0.230714,-4.91843
32802,0.193128,-4.51163
33197,-0.701939,-3.92142
33220,-0.729417,-4.08169
33406,0.489332,-4.74336
33727,-0.721301,-3.8625
33991,0.811321,-4.36231
34040,0.172376,-4.98379
34301,0.326538,-4.65384
34445,-0.286784,-4.13778
34751,-0.417217,-3.96717
34979,-0.301964,-3.67761
35103,0.195485,-4.94091
35355,0.134015,-4.92116
35493,0.342708,-4.78182
35716,0.7006,-4.99633
35895,0.24269,-4.95465
36045,0.385607,-4.57268
36327,0.282653,-4.81172
36579,-0.280886,-4.29285
36611,-0.019323,-3.69169
36947,-0.132853,-4.29619
37015,0.680133,-4.99051
37349,0.23119,-3.69491
37577,-0.104194,-4.40052
37765,-0.385869,-4.42272
37836,-0.371574,-3.95018
38010,-0.612302,-4.0743
38346,-0.316888,-4.13732
38462,-0.537393,-3.91508
38693,-0.453418,-4.03056
38996,-0.0417903,-3.92487
39079,-0.512851,-3.84315
39220,-0.0493429,-4.52219
39547,-0.148881,-3.90328
39639,-0.357731,-4.0375
39926,-0.14779,-4.13217
40018,-0.250296,-4.38169
40363,-0.532204,-4.18563
40556,-0.194451,-4.2739
40700,-0.604553,-4.16185
40968,-0.665404,-3.9539
41128,0.189024,-4.44186
41306,0.926947,-4.69744
41403,0.700803,-4.44716
41604,-0.641758,-3.86584
41983,-0.221808,-4.27809
42140,0.0854523,-4.04028
42395,0.733558,-4.4997
42516,-0.0573373,-3.94214
42615,-0.0347113,-3.89517
42829,-0.275014,-3.72345
43040,-0.489899,-4.3246
43397,0.251592,-4.90115
43507,-0.528465,-4.26394
43727,0.341289,-4.84081
43882,-0.539715,-3.676
44055,0.299416,-4.30289
44350,0.583603,-4.32444
44581,0.277058,-4.42735
44706,-0.271124,-4.39126
44984,0.575032,-4.85182
45039,0.29881,-4.60898
45242,-0.440093,-3.89828
45493,0.313461,-4.70663
45658,-0.0087527,-3.8843
45901,0.821063,-4.80811
46024,-0.566818,-4.34102
46344,-0.326952,-3.8589
46537,-0.277289,-4.25168
46728,-0.0658602,-4.04903
46878,-0.399994,-4.29812
47093,0.0493603,-4.29374
47371,0.507506,-4.85636
47476,0.459689,-4.63118
47641,-0.265786,-4.17861
47837,0.352556,-4.20135
48134,0.883293,-4.80885
48313,0.837861,-4.22747
48458,-0.331152,-4.34063
48778,-0.767548,-3.972
48920,-0.027607,-4.98289
49140,-0.319926,-3.64891
49249,-0.663718,-4.24116
49458,-0.0799448,-4.62483
49785,-0.515352,-4.00079
49805,-0.167017,-3.69261
50018,-0.699121,-4.05205
50395,-0.0688966,-4.37488
50580,0.108091,-4.65085
50735,-0.212669,-3.80904
50904,-0.284971,-3.61501
51062,-0.252648,-3.79037
51387,0.447851,-4.60814
51439,0.253007,-4.52852
51757,0.771986,-4.15898
51933,0.570949,-4.55715
52054,0.109497,-3.90504
52346,0.237207,-4.80701
52600,-0.0813747,-3.76632
52632,0.0757758,-4.05189
52826,0.260688,-4.13183
53008,0.656297,-4.72222
53365,0.28917,-4.59995
53499,-0.144127,-4.39659
53657,-0.748069,-4.21069
53900,-0.339917,-3.9896
54095,-0.274175,-4.2769
54237,-0.754948,-3.99651
54545,-0.753737,-4.18226
54797,-0.385115,-4.25301
54847,-0.771017,-3.78927
55054,-0.598798,-4.10004
55224,0.622233,-4.93875
55542,0.70619,-4.92762
55626,0.724895,-4.98412
55970,-0.0250692,-3.68874
56052,-0.729941,-3.74458
56310,-0.3867,-4.6243
56506,0.342029,-4.32375
56634,0.0518855,-3.90465
56918,-0.479104,-4.14258
57166,0.152236,-4.09894
57203,0.0186324,-4.59764
57438,0.792563,-4.94344
57605,1.12863,-4.88032
57854,-0.108807,-3.76302
58139,-0.186786,-4.02716
58320,-0.376441,-4.19561
58595,-0.794225,-4.09839
58670,-0.0122401,-3.9525
58819,0.30965,-4.1076
59133,0.785558,-4.94165
59387,-0.293554,-4.12058
59513,-0.067553,-3.8669
59730,-0.378654,-4.1494
60000,-0.215751,-4.25685
60063,-0.628747,-3.99304
60344,-0.590958,-3.89941
60456,0.3106,-4.66081
60776,-0.217095,-4.4352
60999,1.39418,-4.49794
61109,0.368168,-4.80983
61397,0.801284,-4.92067
61430,0.424396,-4.54474
61770,-0.237435,-4.06252
61969,-0.158852,-3.94511
62042,1.47904,-4.61951
62266,0.228357,-4.50608
62583,0.886883,-4.7834
62778,0.768291,-4.93176
62840,0.547303,-4.99808
63075,1.47014,-4.94421
63240,0.739153,-4.72115
63496,0.183493,-4.74267
63668,1.33582,-4.64183
63847,0.206527,-4.55674
64050,0.600504,-4.96289
64246,0.690622,-4.98925
64415,-0.151987,-3.93567
64650,-0.234129,-4.12624
64810,-0.309152,-4.1927
65182,-0.473529,-4.01395
65338,-0.555543,-4.12883
65540,-0.433411,-4.24108
65679,-0.764175,-4.13355
65951,-0.42262,-4.14787
66069,-0.0303069,-4.46869
66264,0.721477,-4.41247
66563,0.161576,-4.00655
66674,-0.15414,-4.07085
66964,0.550145,-4.70857
67135,0.42567,-4.56744
67267,1.04187,-4.89408
67504,0.410633,-4.52964
67680,1.21496,-4.27282
67995,0.458794,-4.05262
68108,0.724514,-4.95349
68322,-0.0850798,-4.10545
68496,-0.640662,-3.99014
68719,-0.808589,-3.92615
68802,-0.149083,-4.96412
69035,0.877561,-4.40108
69220,-0.00436037,-4.53772
69418,-0.525903,-4.08632
69672,-0.268773,-4.2344
69826,-0.600677,-4.29751
70081,-0.447712,-4.34627
70364,-0.0204804,-3.77838
70514,-0.302595,-3.45426
70715,-0.581243,-4.33033
70802,-0.25374,-4.51719
71027,0.404424,-4.43268
71229,-0.277985,-3.83916
71406,-0.224778,-4.04848
71699,-0.323359,-4.1607
71851,0.0758844,-3.80646
72024,1.04778,-4.98015
72327,-0.351989,-3.72918
72560,-0.706637,-4.00303
72766,0.361724,-4.52216
72941,-0.158543,-4.31194
73100,-0.0486337,-4.31195
73250,-0.422521,-4.29098
73519,0.559149,-4.83091
73759,0.302257,-4.66106
73857,-0.350549,-3.95666
74086,-0.0180315,-4.11877
74250,-0.396243,-3.83728
74466,-0.153544,-4.44753
74612,-0.490795,-3.84483
74818,-0.46013,-3.64647
75014,0.951805,-3.96428
75354,0.972532,-4.92611
75481,-0.109265,-4.29267
75615,0.117078,-4.49255
75903,-0.422998,-3.8627
76093,0.126094,-4.19892
76370,-0.0649932,-4.9401
76449,1.26838,-4.72171
76680,-0.222062,-4.36441
76845,0.220295,-4.67574
77086,0.396014,-4.80572
77378,1.50545,-4.61891
77534,0.105908,-4.77252
77652,-0.266578,-4.16524
77977,0.501818,-4.06594
78005,-0.152496,-4.1617
78286,-0.508917,-3.99953
78420,0.111616,-4.01579
78634,-0.146873,-4.11849
78833,1.26345,-4.27495
79107,1.27617,-4.63612
79241,0.0676544,-4.60904
79460,0.391472,-4.98578
79719,-0.0161779,-4.05419
79834,-0.403402,-3.83776
80167,0.0861995,-3.9124
80359,-0.0132439,-3.86694
80481,0.508606,-4.82715
80635,0.337049,-4.43852
80873,-0.705499,-4.16426
81086,-0.148296,-3.78217
81369,-0.381434,-3.70578
81525,-0.324148,-3.97154
81679,-0.339996,-4.18273
81967,1.24255,-4.26176
82147,-0.155854,-3.88341
82336,-0.433581,-4.759
82403,-0.622803,-4.34448
82720,-0.22661,-4.15102
82980,-0.0193208,-3.76299
83108,-0.343929,-3.76554
83233,-0.188426,-4.38735
83567,-0.483853,-4.31266
83652,-0.550737,-4.27023
83816,-0.491367,-3.90035
84023,-0.648962,-3.82146
84261,-0.233967,-3.77287
84440,0.0699354,-4.41843
84703,0.413456,-4.53785
84924,-0.360958,-4.71357
85079,-0.304369,-4.3106
85280,-0.513295,-4.33119
85541,-0.133151,-3.81295
85673,0.0320327,-4.11552
85830,-0.314817,-4.24634
86153,-0.473505,-4.25099
86321,-0.649218,-3.77329
86470,-0.455945,-4.27275
86751,0.0165585,-4.37812
86975,-0.729136,-3.87554
87014,-0.71137,-4.10068
87341,-0.406602,-3.5527
87574,0.026498,-4.04191
87628,-0.651135,-3.90955
87902,-0.538191,-4.41911
88125,-0.387257,-3.93887
88353,-0.217727,-4.01588
88470,-0.267737,-3.5535
88752,-0.614223,-4.32057
88803,0.157894,-3.75602
89071,0.116538,-4.13978
89371,-0.317174,-4.46154
89449,-0.170953,-4.31437
89704,-0.0678932,-4.37545
89833,0.401791,-4.84167
90027,-0.335967,-3.80762
90205,-0.389171,-3.96655
90530,-0.153274,-4.65245
90689,0.686651,-4.97152
90931,1.03459,-4.18159
91186,-0.127415,-4.20364
91281,0.436057,-4.73976
91427,0.0583035,-4.11
91729,1.01306,-4.14765
91942,-0.404388,-3.78029
92188,-0.167628,-3.83247
92344,0.0057003,-3.94088
92497,-0.490757,-3.7652
92780,-0.26476,-3.54582
92876,1.17543,-4.97709
93023,0.867035,-4.60891
93237,1.25067,-4.944
93523,1.45778,-4.65967
93637,0.748411,-4.83586
93988,0.0358815,-4.23152
94163,1.06087,-4.91193
94333,0.0545281,-4.35985
94442,0.932738,-4.8359
94623,0.755429,-4.86711
94863,-0.0695265,-4.86016
95054,-0.145729,-3.69664
95310,0.789947,-4.30457
95492,-0.268712,-4.27256
95757,-0.328345,-3.78483
95805,-0.64356,-4.1819
96066,-0.503003,-4.08917
96318,1.59817,-4.86251
96558,-0.184184,-4.03319
96695,-0.503042,-4.02089
96877,-0.214447,-4.08307
97151,-0.321501,-4.3632
97250,-0.356005,-4.10285
97543,-0.403496,-4.1661
97786,-0.338742,-4.7423
97947,-0.59442,-4.21919
98017,-0.194537,-4.33531
98247,0.368131,-4.99484
98584,0.293561,-4.4505
98628,0.177686,-4.89544
98827,0.110924,-4.2602
99003,-0.482862,-3.6594
99262,-0.261165,-4.0321
99501,0.757017,-4.98968
99764,0.0294874,-3.97542
99813,-0.484315,-4.0717
100055,-0.822216,-3.94905
100218,-0.301643,-4.20709
100476,-0.0601424,-3.80057
100682,0.444863,-4.85046
100913,0.83094,-4.61043
101191,-0.320069,-4.13109
101348,0.41413,-4.87641
101440,0.793802,-4.35332
101694,-0.232227,-3.54771
101986,0.0104401,-4.22003
102123,0.527513,-4.78486
102263,-0.600968,-3.86774
102436,-0.334278,-4.18534
102800,0.0115415,-4.20147
102909,0.84472,-4.82872
103055,0.617713,-4.49815
103376,0.0169398,-3.81812
103433,-0.315433,-3.73463
103626,-0.413408,-4.32688
103828,0.293478,-4.62301
104191,0.321622,-4.68592
104343,0.138305,-4.58518
104541,-0.333804,-3.80996
104601,-0.359191,-3.93789
104930,-0.360046,-4.27875
105081,-0.70485,-3.6362
105318,-0.220234,-3.8559
105481,-0.609472,-3.73279
105707,0.217689,-3.96124
105805,-0.526754,-3.71128
106066,-0.671194,-4.34521
106318,0.901871,-4.98555
106512,-0.888484,-4.2175
106605,-0.197958,-3.95299
106847,-0.0858863,-4.57339
107019,0.0544281,-3.92808
107376,0.339562,-4.60778
107567,-0.313711,-4.31818
107750,0.696036,-4.80778
107955,0.53535,-4.9858
108121,0.783284,-4.6979
108355,0.0870671,-4.59419
108472,-0.152684,-4.1095
108781,-0.489341,-4.3155
108946,-0.434849,-3.83026
109047,-0.282444,-4.60032
109205,-0.477481,-3.98696
109549,0.249674,-4.69031
109771,-0.211994,-3.92339
109978,-0.145094,-4.14437
110188,0.256584,-4.50179
110362,0.0255609,-4.3416
110438,-0.254182,-4.15051
110752,-0.773978,-4.33792
110932,-0.366867,-4.3174
111105,-0.199223,-4.02894
111250,-0.758237,-3.89987
111599,0.025091,-3.9578
111798,0.542603,-4.6067
111998,-0.35849,-4.27916
112124,-0.310844,-4.07231
112352,-0.274002,-4.01085
112540,-0.289135,-3.87395
112669,0.771373,-4.96984
112979,-0.472866,-4.14108
113091,-0.563792,-4.31151
113273,-0.341531,-4.44831
113540,-0.701806,-4.06687
113631,-0.521902,-3.97347
113856,-0.579264,-4.06057
114150,-0.219948,-4.11765
114261,0.283552,-3.92861
114543,-0.337468,-3.63585
114790,-0.1463,-3.79633
114813,0.175866,-4.20949
115036,0.181602,-4.63117
115374,0.1328,-4.31276
115581,0.08785,-3.88517
115639,-0.289027,-3.70687
115986,-0.0276316,-4.41702
116159,-0.336291,-4.46001
116336,0.0016405,-4.10051
116599,0.425748,-4.69661
116736,0.956287,-4.77083
116936,0.758921,-4.67635
117176,-0.182121,-3.86618
117306,0.616858,-4.1057
117472,-0.0803489,-4.12501
117704,-0.664971,-4.30408
117977,-0.468569,-4.35457
118095,1.27105,-4.92427
118284,0.750064,-4.44872
118570,0.409442,-4.96326
118646,0.813957,-4.95812
118816,0.0381117,-4.57121
119055,-0.202037,-3.91013
119350,0.0286196,-4.12475
119439,-0.455606,-4.31788
119650,-0.24707,-3.98755
119959,-0.392662,-4.24573
120120,-0.383971,-4.0236
120254,-0.246783,-4.09812
120513,-0.337863,-3.76524
120609,0.166167,-4.19049
120877,-0.435971,-3.96702
121103,-0.661368,-4.31428
121395,-0.481804,-3.64991
121457,-0.159082,-3.70861
121696,-0.0952699,-4.20937
121953,0.710903,-4.73749
122127,0.492713,-4.85246
122374,0.792974,-4.57286
122517,-0.352964,-3.80863
122737,-0.647409,-4.242
122892,0.118219,-4.90143
123123,-0.62379,-4.33064
123399,-0.485777,-4.01916
123546,-0.148779,-4.3128
123611,-0.028758,-3.82166
123879,-0.136113,-4.09024
124156,0.426569,-4.70034
124364,0.20303,-4.45753
124435,0.235871,-4.56151
124607,0.28257,-4.78587
124964,-0.270705,-4.46588
125153,0.101549,-4.50276
125227,-0.0316867,-4.2413
125439,0.773974,-4.83134
125681,0.0131573,-4.71497
125951,0.0935714,-4.97045
126029,-0.0573995,-4.16845
126382,1.21507,-4.91791
126561,0.167832,-3.85455
126639,-0.294303,-4.00095
126961,-0.294577,-4.41095
127068,0.0987665,-4.15776
127220,-0.375616,-3.83517
127403,-0.628982,-4.37303
127634,0.0757671,-4.47937
127942,0.0280213,-4.24796
128151,-0.0773146,-4.40433
128378,0.184186,-4.16802
128573,-0.605365,-3.66564
128710,-0.47618,-4.12898
128965,0.0070688,-4.18461
129097,-0.508401,-4.06289
129229,0.262165,-4.96681
129431,0.141366,-4.71825
129658,0.963678,-4.65544
129884,-0.229831,-3.90684
130006,-0.180933,-3.86481
130369,-0.217401,-4.3401
130592,-0.421452,-3.97268
130741,-0.321317,-4.05007
