id,x,y
106,7.7486,7.1701
388,7.5766,7.0693
464,7.07679,7.60766
741,7.60173,8.15022
914,7.30305,7.5165
1187,7.51073,7.45527
1387,7.30213,7.71415
1513,7.85175,7.45588
1786,7.60548,7.61909
1996,7.56672,7.66767
2088,7.49223,7.83319
2398,7.44331,7.077
2440,7.4685,8.19125
2709,7.3964,7.95405
2983,7.17538,7.64902
3004,7.32565,7.71653
3384,7.39162,7.98709
3487,7.81221,7.33649
3688,7.85956,8.02901
3972,7.51601,8.21956
4013,7.8447,8.17966
4378,7.62181,7.41997
4417,7.51803,7.66296
4620,7.39022,8.22583
4999,7.87272,7.45309
5091,7.50953,7.80441
5333,8.10153,7.75456
5537,7.34741,7.65132
5714,7.56981,7.91318
5891,7.85152,7.71567
6106,7.86138,7.161
6358,7.67801,7.65104
6436,8.04406,7.6416
6719,8.04709,7.53296
6952,7.61242,7.72049
7001,7.63459,7.44391
7288,7.45401,7.9027
7537,7.43155,7.70332
7675,8.0071,7.73144
7826,7.36102,7.99476
8145,7.52813,7.8074
8347,7.79813,7.7659
8522,7.8161,7.81278
8657,7.863,8.1145
8976,7.63681,7.70239
9141,7.72326,7.88794
9275,8.03869,7.79932
9564,7.73372,7.74756
9735,8.08641,7.96272
9809,7.37108,7.56063
10175,7.32528,7.37971
10273,7.59177,7.401
10466,7.95792,7.82069
10692,7.80099,8.05579
10893,7.76933,7.55137
11170,7.9328,7.7026
11338,8.62492,7.62125
11589,7.54116,7.86718
11764,7.3393,7.68563
11895,7.8323,7.65441
12129,8.11307,7.99752
12324,7.57104,7.60613
12411,7.70224,7.34095
12623,8.19447,7.51412
12905,7.7654,7.35651
13192,8.29896,8.16314
13217,7.17986,8.10789
13529,7.59843,7.32401
13612,7.55672,7.288
13866,7.44083,7.91433
14115,7.46362,8.09864
14351,7.66927,7.75561
14505,7.6864,7.86439
14694,7.83773,7.64383
14904,7.39139,7.9921
15038,8.26064,7.68446
15248,7.68539,7.30389
15478,7.51861,7.95531
15607,7.18795,7.83916
15916,7.992,8.04286
16084,7.36257,7.40448
16270,7.63213,7.23281
16404,8.32743,7.59394
16715,8.02269,7.9396
16991,7.97192,7.9377
17089,7.07864,7.42655
17207,7.2226,7.87169
17579,7.45748,7.94798
17737,7.66073,7.48981
17959,8.3239,8.27747
18171,8.0022,7.31964
18275,7.69478,7.16431
18487,7.50771,7.71168
18793,7.62289,7.49117
18884,8.03624,7.74668
19194,7.49664,7.9643
19359,7.45788,7.40467
19519,7.77354,7.56913
19704,7.81824,7.28069
19843,7.75524,7.64366
20030,7.20773,7.67809
20276,8.07684,7.63841
20470,7.42092,7.98814
20739,8.2881,7.96965
20816,7.64653,7.77215
21124,7.56973,7.94499
21368,7.60576,8.19549
21432,7.61808,7.29714
21666,7.43472,7.5672
21880,7.42411,8.04313
22194,7.39141,7.90719
22356,7.71172,7.76666
22583,7.75141,8.09339
22647,7.29783,7.44236
22972,7.32192,7.45035
23051,7.95531,7.3004
23349,7.37406,7.75147
23476,7.56047,7.99613
23763,7.72581,7.68236
23838,7.45745,7.8102
24110,7.71309,7.08227
24330,7.88034,7.19225
24412,7.70726,7.13659
24618,7.66219,7.70758
24845,7.74055,7.5613
25047,8.23394,8.45349
25387,7.88293,7.48325
25572,7.69722,7.90157
25603,7.76585,7.60076
25896,7.81136,7.75349
26129,7.87059,7.85268
26348,7.33532,8.10365
26479,7.6975,7.94266
26767,7.63741,7.80814
26872,8.05816,8.09057
27053,7.36695,7.67927
27371,8.23125,7.77712
27439,7.49488,7.56903
27690,7.90416,7.82933
27985,7.4712,7.46922
28102,7.81874,7.83207
28330,7.37022,7.77982
28434,7.65357,7.68155
28699,7.90642,7.65667
28948,7.88142,7.88195
29079,7.37112,7.76358
29222,7.87893,7.55763
29514,7.75619,7.74936
29601,7.64695,7.79657
29975,7.64757,7.41226
30010,7.48448,7.87793
30327,7.90165,8.09012
30464,7.73416,7.73311
30601,7.94052,7.55212
30930,7.46915,7.89013
31034,7.68889,7.65469
31208,7.84908,7.5214
31504,8.06793,7.86217
31603,7.93922,7.83666
31918,7.15188,7.95016
32002,7.38331,7.96139
32373,7.77233,7.727
32473,7.80732,8.06662
32619,7.49723,7.63226
32885,7.88249,7.73728
33068,7.80446,7.89054
33304,7.41821,7.31549
33404,7.62905,7.64115
33762,8.21726,7.86941
33938,7.78094,7.41828
34173,7.31296,7.70702
34337,7.9649,8.03606
34464,7.66822,7.54845
34664,7.87169,7.68038
34844,7.89785,7.37654
35054,7.70717,7.66885
35206,7.40595,7.95042
35556,7.74549,7.10201
35607,8.53689,7.83399
35839,7.11756,7.65625
36031,7.78595,7.51873
36239,7.73488,7.38479
36425,7.92945,7.89523
36702,7.16495,7.8746
36849,7.60315,7.58893
37176,7.61924,7.75552
37329,7.68893,7.5204
37569,7.94315,7.75956
37767,7.61885,7.7336
37903,8.11349,7.45991
38079,8.18979,7.93891
38252,8.0062,7.64696
38585,7.80981,7.67851
38752,7.98047,7.89663
38930,7.47201,7.68414
39200,7.46159,7.93868
39323,7.68712,7.61673
39530,7.16657,7.69408
39794,7.97224,8.119
39974,7.63569,7.46189
40189,7.78574,7.37178
40267,7.67074,7.49144
40566,8.20113,7.87509
40617,7.9552,7.93551
40944,7.57046,7.59002
41044,7.53272,7.72322
41248,7.67637,7.84337
41580,7.95581,7.4829
41617,8.1604,7.92968
41937,7.75576,7.5293
42184,7.66378,7.38018
42240,7.44042,7.95082
42572,7.53343,7.97463
42643,7.34977,7.41507
42827,7.69482,7.87659
43043,7.93086,7.14258
43295,7.77104,7.75587
43494,7.81176,7.95279
43786,7.8975,7.89746
43840,7.99571,7.86984
44153,7.8961,7.62924
44388,7.74531,8.13053
44503,7.53792,7.31717
44669,7.83135,7.74871
44864,7.29678,7.2785
45144,7.5183,7.61874
45309,7.70425,7.41857
45558,7.72801,7.68026
45689,7.50906,7.33715
45895,7.32243,7.52439
46169,7.82611,8.05875
46286,7.74553,7.5557
46495,7.64955,7.41262
46614,7.91275,7.70909
46991,7.85495,7.4233
47178,8.02087,7.20989
47261,8.10632,7.64273
47506,7.92151,7.70722
47668,7.38099,7.6213
47828,7.9305,7.38223
48196,7.70139,7.31388
48310,7.78979,8.08845
48438,7.84874,7.27673
48631,7.73806,8.12096
48984,7.91535,7.3651
49158,7.53626,7.63507
49312,7.55546,7.88714
49574,7.87498,7.56959
49638,8.02757,7.5631
49910,7.73931,7.23588
50198,7.94054,7.60672
50271,8.2121,7.91896
50407,7.89892,7.80416
50618,7.55622,7.58707
50967,7.65731,7.28033
51014,7.8305,7.96587
51344,7.86038,7.55072
51452,7.47097,7.7719
51792,7.59246,7.86541
51923,7.73114,7.96796
52141,7.21929,7.53513
52252,7.75692,7.82128
52528,7.62473,7.85947
52651,7.76007,7.58876
52930,7.8056,7.21731
53106,7.78282,7.61643
53229,7.43845,7.56894
53545,8.21745,7.82635
53729,7.691,7.98273
53934,7.32076,7.84113
54015,7.60574,7.15585
54359,7.94271,7.46149
54580,7.71489,7.97442
54774,7.61063,7.80551
54830,8.03642,7.75718
55144,7.76872,7.70348
55211,8.02196,7.82396
55560,7.89991,7.90214
55643,7.32665,8.23621
55972,7.82423,8.01982
56094,7.74692,7.80843
56244,7.56945,7.66686
56402,7.60327,7.53492
