id,x,y,z
6,4.44032,8.41555,0.377035
8,4.13443,8.41555,0.377035
13,4.13443,8.06867,0.377035
14,4.13443,8.06867,2.13783
37,4.13443,7.59842,2.13783
54,4.13443,7.73897,2.13783
82,4.13443,7.69084,2.13783
121,4.13443,7.69084,2.24339
229,4.13443,7.69084,1.15688
283,4.13443,7.69084,0.621753
324,4.13443,7.69084,1.17043
543,4.08903,7.69084,1.17043
715,4.09579,7.69084,1.17043
766,4.09579,7.71587,1.17043
793,4.10091,7.71587,1.17043
1010,4.10091,7.69985,1.17043
1069,4.11505,7.69985,1.17043
1105,4.11233,7.69985,1.17043
2756,4.11233,7.69985,2.19294
2968,4.11233,7.7079,2.19294
4495,4.11233,7.70725,2.19294
4632,4.11233,7.7066,2.19294
5262,4.11124,7.7066,2.19294
8573,4.11124,7.7066,1.17022
9908,4.11124,7.7066,0.333018
10484,4.11124,7.70609,0.333018
14542,4.11124,7.70628,0.333018
