id,x,y,z
100,-4.52331,-4.43326,-3.50079
292,-3.6793,-4.92308,-4.63965
567,-3.75034,-4.60026,-3.9708
606,-4.10085,-4.86609,-4.47135
988,-4.57116,-3.09869,-4.45359
1151,-4.62777,-3.36597,-4.33863
1291,-4.55419,-3.96686,-4.79985
1593,-4.87174,-4.83608,-4.11311
1749,-4.53376,-3.37094,-4.31036
1822,-3.84394,-3.27506,-4.19589
2071,-4.21621,-4.75465,-4.63396
2357,-4.97319,-4.92208,-4.42404
2453,-4.32898,-4.27617,-3.19087
2757,-4.32908,-4.00728,-3.6682
2888,-3.36099,-4.1481,-4.90121
3005,-3.31483,-4.38062,-1.77626
3289,-1.39391,-4.85653,-1.01668
3447,-1.32228,-3.27112,-0.338588
3603,-2.03465,-4.58762,-0.603485
3828,-2.88412,-2.98823,0.973177
4009,-2.07231,-3.05614,0.979998
4297,-2.91231,-3.1669,1.26606
4465,-3.15286,-1.92537,0.38427
4685,-4.03329,-1.68532,0.530965
4972,-3.42204,-1.53272,-0.244428
5127,-2.97243,0.462345,-0.149156
5385,-2.92584,0.801368,-0.427034
5433,-4.40303,-0.192226,0.0960187
5721,-4.17926,0.428924,-0.342151
5964,-4.65547,1.89835,0.05724
6191,-4.77936,2.52228,-1.07623
6311,-4.76932,2.63468,-0.529451
6499,-4.72327,1.44046,-0.711903
6732,-3.30159,0.315267,-1.97144
6958,-3.50788,1.59147,-0.462055
7160,-2.54935,1.08633,0.155051
7295,-1.88386,1.86381,-1.01338
7573,-3.30091,2.2835,-2.14886
7612,-3.25176,2.34117,-1.98308
7929,-3.80171,2.14117,-2.21802
8116,-3.09368,4.0785,-3.66792
8284,-3.85221,4.72528,-2.74958
8435,-2.16179,4.09569,-3.32913
8694,-3.03582,4.3646,-2.70634
8885,-1.62915,3.92981,-3.47273
9140,-2.23561,3.60038,-3.17918
9270,-2.87504,4.51192,-4.31975
9405,-4.21417,3.94734,-4.03083
9744,-4.89059,4.67991,-3.90546
9870,-4.42988,3.66605,-3.79167
10105,-3.11792,3.61054,-4.07639
10206,-3.44884,4.12163,-3.09242
10581,-4.22929,3.17198,-0.51337
10663,-4.60668,3.52659,-3.16662
10874,-4.0768,4.97794,-3.02487
11013,-4.3592,4.15125,-3.29623
11329,-4.93176,1.79895,-1.9932
11541,-3.82571,2.17803,-1.35985
11746,-4.40742,3.39675,-1.44425
11919,-4.70627,3.54185,-1.57877
12072,-3.31404,4.8886,-0.280372
12333,-3.13892,4.4834,-0.588812
12516,-3.0794,4.88451,1.23812
12745,-2.22814,4.78208,2.23107
12825,-1.6899,3.99613,2.48521
13039,-0.968863,2.89399,2.23347
